area;condominio;preco
240;1800;3000000
244;1450;1500000
245;1450;1500000
246;2000;1399500
246;1900;1500000
248;2000;325000
248;1500;1200000
250;2500;3500000
251;1200;2690000
252;1300;2200000
252;1200;2950000
254;1650;1500000
254;1633;1500000
254;1650;1500000
254;1436;2750000
256;1500;1200000
256;1150;2700000
256;1200;2790000
260;1550;1500000
264;2500;2100000
264;1800;3150000
264;1800;3600000
266;1500;1500000
266;1600;1500000
275;2300;2500000
278;1250;4200000
278;1450;4500000
278;1250;4900000
280;1200;4000000
280;1800;5200000
281;1581;1600000
282;1800;1550000
284;1900;3600000
288;2300;2500000
288;2000;4100000
295;2000;3000000
295;1250;3000000
300;2570;1750000
300;1720;2600000
326;2500;2000000
327;1600;2400000
330;2500;2700000
330;2700;3500000
330;2700;3500000
331;2300;3200000
340;1450;1250000
350;1200;3800000
380;1300;3500000
380;1250;3500000
386;2000;1990000
388;1860;2500000
400;2800;3200000
434;2200;2800000
450;3000;2500000
450;2700;3100000
498;2100;3200000
